114492	迷你酒店（北京广渠门店）	116.44849769803	39.899903796251	108	470	3.1
114528	天天如家自助服务式公寓（北京西直门店）	116.35765130141	39.950206916819	328	68	4.0
114569	北京龙城华美达酒店	116.31078186216	40.090322795426	618	447	4.3
114601	万商如一酒店（北京学院路店）（原葡萄快捷酒店）	116.35795745904	40.019540877351	169	549	3.9
114637	斯洛主题酒店（北京南站店）	116.3928797448	39.85873294981	199	863	4.0
114639	如家快捷酒店（北京昌平鼓楼西街店）	116.23396094832	40.229957940829	151	576	4.4
114654	格林豪泰（北京万丰路店）（原北京颐沁园大酒店）	116.29928038329	39.875547269975	178	47	4.5
114665	百时快捷酒店（北京天坛店）	116.43303719648	39.893316818885	149	277	4.0
114705	北京国瑞之星宾馆（国瑞北路70号）	116.42835044989	39.905423988932	98	245	3.0
114801	北京缘分星空主题酒店	116.46463127865	39.934282010906	298	51	2.8
114834	北京后海四合院青年客栈	116.38480141643	39.945387395269	168	150	4.0
114857	速8酒店（北京杨闸环岛店）	116.60101907841	39.918885456882	198	140	3.8
114933	北京紫金宫饭店	116.41344568141	39.916593262305	298	113	3.9
114935	北京CBD世界城酒店式公寓	116.45916589713	39.923000638179	599	8	3.7
115112	7天连锁酒店（北京石景山古城店）	116.19871786984	39.912071709987	217	136	4.2
115116	7天连锁酒店（北京站店）	116.45236298385	39.901670585421	197	134	3.8
115117	7天连锁酒店（北京赵公口店）	116.42136190511	39.859025809046	177	99	3.6
115138	7天连锁酒店（北京鸟巢店）	116.42073489187	40.006553960812	277	222	4.0
115178	7天连锁酒店（北京慈云寺店）	116.51726278911	39.923530380775	187	81	3.8
115193	7天连锁酒店（北京中关村人民大学店）	116.31212894001	39.979281035841	277	35	4.1
115199	7天连锁酒店（北京动物园店）	116.34895645696	39.951895328278	247	186	4.0
115223	7天连锁酒店（北京夏家胡同店）	116.32274721609	39.854318450468	177	76	3.9
115227	7天连锁酒店（北京总部基地二店）	116.28720774377	39.82902039925	177	76	3.9
115228	7天连锁酒店（北京四惠地铁站店）	116.50600939216	39.911366180112	197	163	3.9
115244	7天连锁酒店（北京站二店）	116.44950389145	39.891320809006	207	20	3.5
115260	7天连锁酒店（北京西直门店）	116.37146442883	39.937295326058	247	85	4.0
115261	7天连锁酒店（北京方庄店）	116.44504063781	39.880755362422	187	72	4.2
